Epoch [50/400], Loss: 16252.694920285543, MAE: 23.104317394892373, Val Loss: 229399.7490234375, Val MAE: 77.1014389038086
Epoch [51/400], Loss: 15071.17860921224, MAE: 20.588331095377605, Val Loss: 180975.91419270833, Val MAE: 78.93505566914877
Epoch [52/400], Loss: 33057.04215291341, MAE: 32.6839373588562, Val Loss: 301947.50924479164, Val MAE: 84.41900418599447
Epoch [53/400], Loss: 52808.941097005205, MAE: 38.09369231859843, Val Loss: 232869.07076822917, Val MAE: 71.84054832458496
Epoch [54/400], Loss: 50816.78850097656, MAE: 40.41607751846313, Val Loss: 289907.28782552085, Val MAE: 82.03942070007324
Epoch [55/400], Loss: 29452.997825113933, MAE: 32.45797201792399, Val Loss: 247314.6728515625, Val MAE: 80.59492365519206
Epoch [56/400], Loss: 21648.0694925944, MAE: 28.47868062655131, Val Loss: 333441.9180664063, Val MAE: 88.75865497589112
Epoch [57/400], Loss: 22613.532639567056, MAE: 27.378949022293092, Val Loss: 249767.26354166667, Val MAE: 80.45869394938151
Epoch [58/400], Loss: 11880.420985921224, MAE: 19.533257881800335, Val Loss: 282174.8548177083, Val MAE: 82.75839970906576
Epoch [59/400], Loss: 18437.61248474121, MAE: 23.514826130867004, Val Loss: 297400.46328125, Val MAE: 86.72693049112955
Epoch [60/400], Loss: 42613.79044189453, MAE: 38.228432734807335, Val Loss: 242776.02934570314, Val MAE: 74.1029067993164
Epoch [61/400], Loss: 54295.22877197266, MAE: 39.43881901105245, Val Loss: 293800.67584635416, Val MAE: 86.50087038675944
Epoch [62/400], Loss: 51245.83617960612, MAE: 37.72310633659363, Val Loss: 296902.5421223958, Val MAE: 80.5691047668457
Epoch [63/400], Loss: 42369.21303304037, MAE: 34.5871344089508, Val Loss: 301811.82317708334, Val MAE: 88.4291364034017
Epoch [64/400], Loss: 29876.318814086913, MAE: 31.443250528971355, Val Loss: 249533.43346354167, Val MAE: 81.45528717041016
Epoch [65/400], Loss: 19440.51418863932, MAE: 24.779818471272787, Val Loss: 309825.5481770833, Val MAE: 87.14692738850911
Epoch [66/400], Loss: 13169.865883382161, MAE: 20.170390462875368, Val Loss: 282372.7294921875, Val MAE: 82.2500114440918
Epoch [67/400], Loss: 21886.54244486491, MAE: 23.46300313472748, Val Loss: 319656.8620768229, Val MAE: 83.31908372243245
Epoch [68/400], Loss: 21116.425983683268, MAE: 24.095803610483806, Val Loss: 298430.48313802085, Val MAE: 84.8963249206543
Epoch [69/400], Loss: 16732.83522796631, MAE: 20.84989072481791, Val Loss: 298399.23020833335, Val MAE: 91.11682573954265
Epoch [70/400], Loss: 18646.256270345053, MAE: 23.128249724706013, Val Loss: 312697.216015625, Val MAE: 88.02304153442383
Epoch [71/400], Loss: 16409.960486857097, MAE: 21.244381856918334, Val Loss: 248069.71868489584, Val MAE: 85.05214754740398
Epoch [72/400], Loss: 10418.721409098307, MAE: 17.497906931241353, Val Loss: 293420.833203125, Val MAE: 87.24357528686524
Epoch [73/400], Loss: 10204.844056193035, MAE: 17.36446661154429, Val Loss: 276883.66119791666, Val MAE: 88.35339991251628
Epoch [74/400], Loss: 10308.706150309245, MAE: 17.254963302612303, Val Loss: 353317.71484375, Val MAE: 89.47377090454101
Epoch [75/400], Loss: 14429.070193481446, MAE: 22.262109788258872, Val Loss: 317062.64205729164, Val MAE: 89.41252721150717
Epoch [76/400], Loss: 16424.397364298504, MAE: 24.191006143887837, Val Loss: 260341.1541015625, Val MAE: 77.11945889790853
Epoch [77/400], Loss: 13425.495591227214, MAE: 22.349129470189414, Val Loss: 289508.07513020834, Val MAE: 87.42461649576823
Epoch [78/400], Loss: 11216.156814575195, MAE: 19.93163496653239, Val Loss: 297063.2936197917, Val MAE: 84.28052317301432
Epoch [79/400], Loss: 13221.166244506836, MAE: 20.40851074854533, Val Loss: 294521.67578125, Val MAE: 84.66551310221354
Epoch [80/400], Loss: 17472.737419637044, MAE: 22.906622370084126, Val Loss: 343635.54739583336, Val MAE: 86.09835764567057
Epoch [81/400], Loss: 35475.33614501953, MAE: 31.077114661534626, Val Loss: 252451.78111979167, Val MAE: 91.89834493001302
Epoch [82/400], Loss: 38272.0243347168, MAE: 34.4518992582957, Val Loss: 322390.5185872396, Val MAE: 87.46135864257812
Epoch [83/400], Loss: 23376.999389648438, MAE: 26.834401988983153, Val Loss: 225154.02955729168, Val MAE: 77.00821393330892
Epoch [84/400], Loss: 11152.27945658366, MAE: 19.75758431752523, Val Loss: 329560.83759765624, Val MAE: 85.00486640930175
Epoch [85/400], Loss: 13457.242881266277, MAE: 19.867560903231304, Val Loss: 247603.18177083333, Val MAE: 79.54662869771322
Epoch [86/400], Loss: 11970.623490397136, MAE: 19.685264364878336, Val Loss: 294547.5703125, Val MAE: 84.6500971476237
Epoch [87/400], Loss: 10742.460112778346, MAE: 16.194992478688558, Val Loss: 280747.864453125, Val MAE: 81.75977363586426
Epoch [88/400], Loss: 13596.650458780925, MAE: 19.503603196144105, Val Loss: 351065.5690104167, Val MAE: 86.61974385579427
Epoch [89/400], Loss: 24190.736825561522, MAE: 25.798951975504558, Val Loss: 297905.77682291664, Val MAE: 85.558775583903
Epoch [90/400], Loss: 15679.177893066406, MAE: 22.45707581837972, Val Loss: 333835.228515625, Val MAE: 86.52305870056152
Epoch [91/400], Loss: 23361.38063405355, MAE: 27.96355873743693, Val Loss: 353223.7286458333, Val MAE: 84.80600357055664
Epoch [92/400], Loss: 23028.53796819051, MAE: 27.333076711495718, Val Loss: 273987.7859375, Val MAE: 80.97865422566731
Epoch [93/400], Loss: 15333.1648050944, MAE: 22.648650455474854, Val Loss: 300921.9212239583, Val MAE: 85.60854873657226
Epoch [94/400], Loss: 12949.684852600098, MAE: 18.620509068171184, Val Loss: 259516.40924479166, Val MAE: 80.08541310628256
Epoch [95/400], Loss: 10484.13239034017, MAE: 17.22451877593994, Val Loss: 294713.74296875, Val MAE: 84.06203575134278
Epoch [96/400], Loss: 6060.168775685628, MAE: 13.148756917317709, Val Loss: 270483.46966145834, Val MAE: 83.3414525349935
Epoch [97/400], Loss: 5088.365815734864, MAE: 12.234564892450969, Val Loss: 280980.473828125, Val MAE: 85.05867818196614
Epoch [98/400], Loss: 8387.164496866862, MAE: 14.916557121276856, Val Loss: 317784.08372395835, Val MAE: 88.1774917602539
Epoch [99/400], Loss: 10611.080336761475, MAE: 15.984919412930806, Val Loss: 300559.6934895833, Val MAE: 81.83420740763346
Epoch [100/400], Loss: 8202.745999145507, MAE: 14.421110884348552, Val Loss: 278175.09739583335, Val MAE: 85.94933624267578
Epoch [101/400], Loss: 7945.204154968262, MAE: 14.998050093650818, Val Loss: 292766.696875, Val MAE: 82.44154116312663
Epoch [102/400], Loss: 5923.487295277913, MAE: 13.243382883071899, Val Loss: 322718.35078125, Val MAE: 87.02637634277343
Epoch [103/400], Loss: 6936.134817504882, MAE: 15.008024470011394, Val Loss: 327705.139453125, Val MAE: 90.03183135986328
Epoch [104/400], Loss: 7728.646239725748, MAE: 14.861947973569235, Val Loss: 299660.5079427083, Val MAE: 89.01250966389973
Epoch [105/400], Loss: 10643.92367808024, MAE: 17.521288005510964, Val Loss: 304707.0208333333, Val MAE: 85.47056070963542
Epoch [106/400], Loss: 10253.945204671223, MAE: 15.474457017580669, Val Loss: 284446.76510416664, Val MAE: 80.77699356079101
Epoch [107/400], Loss: 5179.177285003662, MAE: 12.562225739161173, Val Loss: 301829.39791666664, Val MAE: 85.94851582845052
Epoch [108/400], Loss: 5575.082604408264, MAE: 12.207346574465435, Val Loss: 307673.82721354166, Val MAE: 86.27572263081869
Epoch [109/400], Loss: 8610.924513753254, MAE: 14.534453010559082, Val Loss: 295951.07330729166, Val MAE: 85.41680094401042
Epoch [110/400], Loss: 9731.576650110881, MAE: 17.445157583554586, Val Loss: 307131.57760416664, Val MAE: 86.62856686909994
Epoch [111/400], Loss: 12109.28938293457, MAE: 18.709585364659628, Val Loss: 315936.8516927083, Val MAE: 87.97897542317709
Epoch [112/400], Loss: 16098.477936808269, MAE: 21.86356374422709, Val Loss: 277440.22265625, Val MAE: 83.19657923380534
Epoch [113/400], Loss: 14359.472942606608, MAE: 20.946899803479514, Val Loss: 306422.26653645834, Val MAE: 89.95703735351563
Epoch [114/400], Loss: 20766.655307388304, MAE: 22.392786502838135, Val Loss: 310957.6055989583, Val MAE: 89.96027247111003
Epoch [115/400], Loss: 33399.9140625, MAE: 30.44949747721354, Val Loss: 317592.09401041665, Val MAE: 89.95837758382162
Epoch [116/400], Loss: 29028.129204305013, MAE: 28.757862329483032, Val Loss: 292714.8172851562, Val MAE: 83.22389043172201
Epoch [117/400], Loss: 24559.18114013672, MAE: 27.5845610777537, Val Loss: 294578.1255859375, Val MAE: 86.15549341837566
Epoch [118/400], Loss: 13208.551205444335, MAE: 19.083043495814007, Val Loss: 301373.1868489583, Val MAE: 88.67489446004232
Epoch [119/400], Loss: 6946.514410146077, MAE: 14.782579358418783, Val Loss: 334079.42473958334, Val MAE: 86.8436440785726
Epoch [120/400], Loss: 5163.920241292318, MAE: 13.010650531450908, Val Loss: 284319.1075520833, Val MAE: 86.69719823201497
Epoch [121/400], Loss: 3527.624736150106, MAE: 9.470388484001159, Val Loss: 316242.9075520833, Val MAE: 89.62278111775716
Epoch [122/400], Loss: 2401.520556386312, MAE: 8.523901955286663, Val Loss: 314987.123046875, Val MAE: 89.78028233846028
Epoch [123/400], Loss: 3245.7015040079755, MAE: 9.485670193036396, Val Loss: 314733.3072916667, Val MAE: 87.57790921529134
Epoch [124/400], Loss: 5633.893436813354, MAE: 11.437070512771607, Val Loss: 296548.45364583336, Val MAE: 90.10955327351888
Epoch [125/400], Loss: 5443.657556406657, MAE: 11.779311140378317, Val Loss: 303313.8359375, Val MAE: 91.37297108968099
Epoch [126/400], Loss: 7746.9030277252195, MAE: 15.509246762593587, Val Loss: 317051.44088541664, Val MAE: 91.93884404500325
Epoch [127/400], Loss: 11610.2902150472, MAE: 17.06924703915914, Val Loss: 309879.92864583334, Val MAE: 90.06039886474609
Epoch [128/400], Loss: 6883.414870198568, MAE: 13.820894153912862, Val Loss: 276269.78020833334, Val MAE: 82.91905988057455
Epoch [129/400], Loss: 5446.716987609863, MAE: 12.295926109949749, Val Loss: 318683.88502604165, Val MAE: 90.74845123291016
Epoch [130/400], Loss: 3808.216756184896, MAE: 10.511718209584554, Val Loss: 293471.99361979164, Val MAE: 84.87766380310059
Epoch [131/400], Loss: 4095.3733781178794, MAE: 10.457473345597585, Val Loss: 303050.59231770836, Val MAE: 88.31371612548828
Epoch [132/400], Loss: 4301.921111043294, MAE: 10.431919558842976, Val Loss: 319833.55234375, Val MAE: 91.45542602539062
Epoch [133/400], Loss: 4480.397532717387, MAE: 9.856146128972371, Val Loss: 296008.5584635417, Val MAE: 87.55004119873047
Epoch [134/400], Loss: 5290.338240051269, MAE: 11.849349117279052, Val Loss: 313631.02877604164, Val MAE: 91.40507481892904
Epoch [135/400], Loss: 8762.35776163737, MAE: 14.94527923266093, Val Loss: 315517.0690104167, Val MAE: 92.08126703898112
Epoch [136/400], Loss: 5439.145771789551, MAE: 12.98588060537974, Val Loss: 318333.28372395836, Val MAE: 87.81562334696451
Epoch [137/400], Loss: 5594.800509134929, MAE: 13.460239394505818, Val Loss: 287839.7428385417, Val MAE: 86.2279271443685
Epoch [138/400], Loss: 13632.922265625, MAE: 20.840850885709127, Val Loss: 350734.65338541666, Val MAE: 92.79045206705729
Epoch [139/400], Loss: 17566.52883707682, MAE: 22.853526560465493, Val Loss: 323248.7010416667, Val MAE: 91.6010082244873
Epoch [140/400], Loss: 10515.778944905598, MAE: 18.006577714284262, Val Loss: 322783.112890625, Val MAE: 91.48123181660971
Epoch [141/400], Loss: 6904.517843627929, MAE: 14.887121661504109, Val Loss: 319328.7981770833, Val MAE: 90.94049733479818
Epoch [142/400], Loss: 9110.492552185058, MAE: 17.057363971074423, Val Loss: 304298.846875, Val MAE: 90.64649772644043
Epoch [143/400], Loss: 9408.483769226073, MAE: 16.854834620157877, Val Loss: 328456.44166666665, Val MAE: 93.19328893025717
Epoch [144/400], Loss: 12251.452135721842, MAE: 18.54379419485728, Val Loss: 314957.15130208334, Val MAE: 87.03836606343587
Epoch [145/400], Loss: 5366.372861989339, MAE: 13.857876388231913, Val Loss: 316798.8997395833, Val MAE: 90.98446299235026
Epoch [146/400], Loss: 3221.6806490580243, MAE: 10.403327941894531, Val Loss: 320375.02903645835, Val MAE: 93.617005666097
Epoch [147/400], Loss: 4777.409828503926, MAE: 12.013232350349426, Val Loss: 317154.5076822917, Val MAE: 90.5005879720052
Epoch [148/400], Loss: 9130.533209228515, MAE: 13.622281034787497, Val Loss: 311786.182421875, Val MAE: 89.81589228312174
Epoch [149/400], Loss: 9241.628862253825, MAE: 15.390566380818685, Val Loss: 347768.1627604167, Val MAE: 94.34899724324545
Epoch [150/400], Loss: 7940.573223304748, MAE: 15.237069829305012, Val Loss: 302985.14401041664, Val MAE: 86.3836659749349
Epoch [151/400], Loss: 4101.317408370972, MAE: 11.20475050608317, Val Loss: 301292.37942708336, Val MAE: 86.91046918233236
Epoch [152/400], Loss: 5426.84597085317, MAE: 11.848744463920593, Val Loss: 323909.34322916664, Val MAE: 90.64752820332845
Epoch [153/400], Loss: 5680.487773132324, MAE: 12.604441006978353, Val Loss: 318980.8203125, Val MAE: 90.8435738881429
Epoch [154/400], Loss: 6735.604918416341, MAE: 12.819746128718059, Val Loss: 304095.4122395833, Val MAE: 90.50540593465169
Epoch [155/400], Loss: 6475.091569010417, MAE: 13.712466168403626, Val Loss: 336197.63971354166, Val MAE: 94.14326667785645
Epoch [156/400], Loss: 7237.247941080729, MAE: 14.803388778368632, Val Loss: 323196.48020833335, Val MAE: 93.53759841918945
Epoch [157/400], Loss: 7517.455813090007, MAE: 13.879401119550069, Val Loss: 323885.28671875, Val MAE: 89.14745826721192
Epoch [158/400], Loss: 19794.35421600342, MAE: 21.156665643056233, Val Loss: 338557.4537760417, Val MAE: 96.94021174112956
Epoch [159/400], Loss: 8209.853210449219, MAE: 16.399945163726805, Val Loss: 325474.02760416665, Val MAE: 88.14578641255697
Epoch [160/400], Loss: 8902.69020284017, MAE: 16.219749808311462, Val Loss: 332331.56171875, Val MAE: 90.00870132446289
Epoch [161/400], Loss: 4782.308531697591, MAE: 12.263118771711985, Val Loss: 333289.49270833336, Val MAE: 93.38566233317057
Epoch [162/400], Loss: 4162.014753977458, MAE: 10.378728644053142, Val Loss: 329824.1190104167, Val MAE: 92.04119237263997
Epoch [163/400], Loss: 3437.410519917806, MAE: 9.987035298347473, Val Loss: 323864.1848958333, Val MAE: 91.56068369547526
Epoch [164/400], Loss: 5060.187226359049, MAE: 10.79237032731374, Val Loss: 329700.80911458336, Val MAE: 88.28887672424317
Epoch [165/400], Loss: 5582.507096354167, MAE: 12.298062753677367, Val Loss: 331755.77317708335, Val MAE: 90.3572551727295
Epoch [166/400], Loss: 8862.677058919271, MAE: 14.990836238861084, Val Loss: 334254.7350260417, Val MAE: 92.04308573404948
Epoch [167/400], Loss: 13140.197679138184, MAE: 17.44129265944163, Val Loss: 309131.7244791667, Val MAE: 95.23418375651042
Epoch [168/400], Loss: 11662.478726704916, MAE: 19.454402081171672, Val Loss: 317204.3766276042, Val MAE: 93.1417106628418
Epoch [169/400], Loss: 9080.858837381998, MAE: 17.17901609738668, Val Loss: 332569.28046875, Val MAE: 93.46077982584636
Epoch [170/400], Loss: 9568.071952565511, MAE: 17.004878290494283, Val Loss: 345584.78802083334, Val MAE: 94.13079147338867
Epoch [171/400], Loss: 9516.789432779948, MAE: 17.187707630793252, Val Loss: 352141.74557291664, Val MAE: 93.9704350789388
Epoch [172/400], Loss: 9769.44986368815, MAE: 16.286329476038613, Val Loss: 333966.545703125, Val MAE: 92.69869893391927
Epoch [173/400], Loss: 8620.128116861979, MAE: 15.922805611292521, Val Loss: 319729.7154947917, Val MAE: 92.44076296488444
Epoch [174/400], Loss: 7880.684827677409, MAE: 15.00325863758723, Val Loss: 318826.74609375, Val MAE: 94.92210566202799
Epoch [175/400], Loss: 7806.7462905883785, MAE: 14.747800278663636, Val Loss: 351841.28229166666, Val MAE: 89.4674030303955
Epoch [176/400], Loss: 12738.049033101399, MAE: 18.11714018980662, Val Loss: 329590.172265625, Val MAE: 90.48123703002929
Epoch [177/400], Loss: 16249.651902008056, MAE: 21.703837203979493, Val Loss: 319994.41354166664, Val MAE: 92.0161964416504
Epoch [178/400], Loss: 13598.50918528239, MAE: 18.506261801719667, Val Loss: 354069.45807291666, Val MAE: 102.38003870646159
Epoch [179/400], Loss: 11393.759576924642, MAE: 17.626096391677855, Val Loss: 338452.57786458335, Val MAE: 106.38096644083659
Epoch [180/400], Loss: 10760.77448018392, MAE: 17.36287066141764, Val Loss: 343356.27877604164, Val MAE: 97.07479654947916
Epoch [181/400], Loss: 13718.169496409098, MAE: 20.585579323768616, Val Loss: 327439.2047526042, Val MAE: 92.42514305114746
Epoch [182/400], Loss: 12596.954480997721, MAE: 17.43546516895294, Val Loss: 307923.41106770834, Val MAE: 91.88927942911783
